beer_name,brewery,city,state,style,abv,date,notes,rating,serving_type,venue_name,venue_city,venue_state,venue_country,catalog_beer_id,venue_latitude,venue_longitude
Geometry Attack DDH IPA,Transient Artisan Ales,Bridgman,MI,DDH IPA,8.0,2022-07-11,Youtube Video: Pixio Makes Pro Monitors??? - PX277 Pro Review,5.0,growler,,,,,,,
Four Devils Golden Belgian Ale,Monkless Belgian Ales,Bend,OR,Belgian Golden Ale,9.0,2022-06-27,"Youtube Video: A Used Xeon, a New GPU and a Linux Install - HP Z440 Gaming/Workstation Build",1.25,can,Monkless Belgian Ales,Bend,OR,US,,44.0581728,-121.3153096
Stereohopic IPA Vol. 4,Lagunitas Brewing,Petaluma,CA,IPA,7.2,2022-06-20,Youtube Video: One Terabyte of RAM for the CRAFTINATOR!,4.0,bottle,The Local,Eugene,OR,US,,44.0505054,-123.0950506
Hop Wave 5,Equilibrium Brewing,Middletown,NY,Hazy IPA,8.5,2022-05-21,Youtube Video: Windows is in Trouble... SteamOS 3.0 on Desktop,3.0,crowler,The Beerded Lady,Portland,OR,US,,45.5202471,-122.6741940
Rainbow Jetplane Hazy IPA,Matchless Brewing,Tumwater,WA,Hazy IPA,6.5,2022-05-10,Youtube Video: Get ready to live again... Sapphire Nitro+ RX 6650 XT,4.0,crowler,Matchless Brewing,Tumwater,WA,US,,46.9708337,-122.8850065
Wheatadore 64,Binary Brewing,,Oregon,American Wheat Ale,5.0,2022-05-07,Youtube Video: SteamDeck Who? - Aya Neo Next Review,3.0,bottle,,,,,,,
Razzle Dazzle Razzle Drone DDH IIPA,Singlecut Brewing,Astoria,NY,DDH IIPA,8.0,2022-05-05,Youtube Video: Configuring ZFS on the CRAFTINATOR!,3.25,can,,,,,,,
Seven IZZup Hazy IPA,Equilibrium Brewing,Middletown,NY,Hazy IPA,,2022-04-23,Youtube Video: MY STOR-INATOR! - 45drives Storinator AV15 Unboxing,2.0,growler,Hopworks Bar & Grill,Eugene,OR,US,,44.0505054,-123.0950506
Technicolor Double Shot Coffee Stout,Treehouse Brewing,Charlton,RI,Coffee Stout,10.8,2021-09-18,Youtube Video: Business in a Box! - Single Server Deployment with the Supermicro 620P Mainstream,5.0,growler,Treehouse Brewing,Charlton,RI,US,,41.8591079,-71.3708189
Sticky Hands Tropical IPA,Block 15 Brewing,Corvallis,OR,Tropical IPA,7.8,2022-04-14,Youtube Video: AliExpress Water Cooling my nVidia Tesla GPUs,4.25,cask,Block 15 Brewing,Corvallis,OR,US,,44.5645659,-123.2620435
Matchless Bar 2022 Imperial Stout,Matchless Brewing,Tumwater,WA,Imperial Stout,11.0,2022-04-06,"Youtube Video: Your Webcam Sucks, and Your Boss Cares",5.0,crowler,The Growler Station,Portland,OR,US,,45.5202471,-122.6741940
Doom Sauce Black IPA,Lord Hobo Brewing,Woburn,MA,Black IPA,7.8,2022-04-01,Youtube Video: No Fooling... IT'S ALIVE! AND REALLY HEAVY!,1.75,cask,,,,,,,
Can You Milk an Oat,New Image Brewing,Arvada,CO,Oat Cream IPA,,2022-03-21,Youtube Video: Proxmox GPU Virtualization Tutorial with Custom Profiles - vGPU_Unlock-RS,2.25,crowler,New Image Brewing,Arvada,CO,US,,39.7996434,-105.0824761
House Rules IPA,Resurgence Brewing Co,Buffalo,NY,Hazy IPA,,2022-03-08,Youtube Video: Build a Server From Old Gaming Parts,2.25,draft,,,,,,,
Motto Floozy,Ratchet Brewing,Silverton,OR,Blonde Ale,5.6,2022-03-01,Youtube Video: Let's put a PC in an XBOX!,2.0,crowler,Ratchet Brewing,Silverton,OR,US,,45.0049305,-122.7832947
JJJuiceee Machine,Treehouse Brewing,Charlton,RI,Imperial or Double India Pale Ale,8.2,2022-02-26,Youtube Video: IT'S FIXED! - Wiwynn Lyra SV315 Review Redux,2.25,draft,,,,,a9453a69-a588-44c2-a0e8-e68d743f8b9d,,
Symphonic Chronic IPA,Deschutes Brewing,Bend,OR,IPA,7.2,2022-02-24,Youtube Video: 4K Professional Monitor for 1440p Money - Innocn 27C1U Art Review,1.5,can,Deschutes Brewing,Bend,OR,US,,44.0581728,-121.3153096
Golden Wheat Ale (Heavenly Body),WellBeing Brewing,,,Wheat Ale (Non-Alcoholic),,2022-02-08,Youtube Video: Can TrueNAS Scale Replace your Hypervisor?,1.75,growler,The Ale House,Vancouver,WA,US,,45.6306954,-122.6744557
Grower Direct IPA,Deschutes Brewing,Bend,OR,IPA,7.0,2022-02-05,Youtube Video: Retro Rocket SFF Gaming PC!,1.75,can,,,,,,,
A Beer That Tastes Like Beer,Big Ditch Brewing,Buffalo,NY,,,2022-01-17,Youtube Video: Keep an eye on your network - Observium Tutorial,2.5,crowler,,,,,,,
Coal Porter,Santiam Brewing,Salem,OR,Brown Porter,6.5,2021-12-30,Youtube Video: The Clean OS Microsoft Won't Sell You,1.25,growler,,,,,5990b0b5-49a6-46ad-91ee-f8fd3d0ee80a,,
Crux Stout,Crux Fermentation Project,Bend,OR,Stout,,2021-12-23,"Youtube Video: Buy Cheap, Buy Twice - Wavlink 300Mbps Outdoor WAP",1.0,can,Crux Fermentation Project,Bend,OR,US,,44.0508375,-121.3079189
Imperial Winter Ale,Fremont Brewing,Seattle,WA,Herb and Spice Beer,8,2021-12-18,Youtube Video: What could go wrong - Retro PC Build FAIL,2.25,growler,The Local,Eugene,OR,US,00085e0f-67df-40c0-8953-4258c2f170e7,44.0505054,-123.0950506
2021 Narwhal Imperial Stout,Sierra Nevada,Chico,CA,Imperial Stout,,2021-11-30,Youtube Video: 10lb of cooler in a 5lb bag? - Arctic Freezer 4U SP3,5.0,draft,,,,,,,
Peak Buster Double IPA,Ghostfish Brewing,Seattle,WA,Double IPA (GF),8.0,2021-11-13,Youtube Video: Projects aren't always successful - nVidia P106-90 Mining GPU,3.5,growler,Ghostfish Brewing,Seattle,WA,US,,47.5763508,-122.3338900
Straight Outta Portland IPA,Migration Brew Co,Portland,OR,IPA,7.3,2021-11-09,Youtube Video: Debloating Windows 11 The Easy Way!,1.25,bottle,,,,,,,
Diablogato Double IPA,Lord Hobo Brewing,Woburn,MA,Double IPA,,2021-11-07,Youtube Video: Jginyue Dual X99 PC Build,2.75,bottle,Foam & Froth,Hood River,OR,US,,45.5311636,-121.6475587
Dead & Dead,Rogue Ales and Spirits,Newport,OR,Wood- and Barrel-Aged Beer,7.9,2019-02-22,Youtube Video: Stop Building RetroPies??? - Aerofara Aero 2 Review,2.0,bottle,Rogue Ales and Spirits,Newport,OR,US,81d40392-7e19-43b9-bb0f-5ecf31642309,44.6367550,-124.0534420
Wake N Bake Chai Latte Imperial Oatmeal Coffee Stout,Terrapin Brewing,Athens,GA,Imperial Oatmeal Coffee Stout,,2021-10-22,Youtube Video: Ask your Storage Admin if ZFS Deduplication is right for you...,4.25,can,,,,,,,
Wanderjack IPA,Breakside Brewing / Barley Brown,Portland,OR,IPA,,2021-10-05,Youtube Video: I'll Make My Own Heatsink - Just add Blackjack,1.25,growler,The Hop Yard,Buffalo,NY,US,,42.8864163,-78.8781493
Golden Dall,49th State Brewing,Healy,AK,Belgian,,2021-09-28,Youtube Video: A Trackball designed for gamers?,4.25,bottle,McGinty's Pub,Seattle,WA,US,,47.6038321,-122.3300620
Double Shot Imperial Stout,Treehouse Brewing,Charlton,MA,Imperial Stout,8.9,2021-05-19,Youtube Video: First World Upgrade Problems - Cloud Gaming Server Edition,4.5,cask,Craft & Barrel,Seattle,WA,US,,47.6038321,-122.3300620
Death of Civilization 01,Adroit Theory,Purcellville,VA,Hazy IPA,8.0,2021-09-12,Youtube Video: TrueNAS Cache Disks with FusionIO Drives,1.5,bottle,Adroit Theory,Purcellville,VA,US,5ec810ac-35c0-495f-acca-5dffb2498709,39.1439547,-77.7203596
Perfect Storm American Double IPA,Treehouse Brewing,Charlton,MA,Double IPA,8.0,2021-09-03,Youtube Video: Use ANY Headless GPU for Gaming in a Virtual Machine!,4.5,can,,,,,c05c0cc5-c588-4273-b302-e55557ec9c51,,
Love Potion #9,Block 15 Brewing,Corvallis,OR,Stout,7.0,2021-08-31,Youtube Video: Gaming Keyboard with Macros for under $50? EVGA Z12 Review,3.0,cask,The Growler Station,Portland,OR,US,,45.5202471,-122.6741940
Better This Way DDH IPA,Anchorage Brewing,Anchorage,AK,DDH IPA,8.4,2021-08-29,Youtube Video: How do you cool an nVidia Tesla GPU?,2.5,can,,,,,2473fa85-7d33-4969-9434-7b83a3c671a0,,
Grootslang BA Imperial Stout,Montgomery Brewing,Montgomery,MN,BA Imperial Stout,,2021-08-25,Youtube Video: $220 for Titan X Performance TODAY????,2.0,can,The Growler Station,Portland,OR,US,f0ec268d-ccf4-4292-9d82-d5e64d5852d5,45.5202471,-122.6741940
Maximus Colossal IPA,Lagunitas Brewing,Petaluma,CA,IPA,9.0,2021-08-18,Youtube Video: This Case Blows!,3.75,draft,,,,,ca935bd2-e946-453b-89a9-50984bc002b7,,
Lil' Sumpthin' Summer Ale,Lagunitas Brewing,Petaluma,CA,IPA,7.5,2021-08-15,Youtube Video: Make GPUs Thin Again! - Galax GTX 1070 KATANA,3.25,cask,Lagunitas,Petaluma,CA,US,66081348-78ce-4f60-b850-2f51709c2aa8,38.2726401,-122.6618976
Glass Volcano Black Lager,Foreland Beer,McMinnville,OR,Schwarzbier,5.0,2021-08-10,Youtube Video: $180 for a Gaming GPU Today??? Gaming on an nVidia Tesla K80!,2.75,growler,Foreland Beer,McMinnville,OR,US,11edd38f-be85-449a-af53-47f68be6e7c7,45.2100367,-123.1944630
Mass Ascension IPA,Ex Novo Brewing,Portland,OR,IPA,6.9,2021-07-31,"Youtube Video: Two Gamers, One GPU from your Windows PC! Hyper-V Paravirtualization Build and Tutorial",5.0,can,Ex Novo Brewing,Portland,OR,US,d2d60cb3-c2f0-4e02-91b0-56454088dd78,45.5202471,-122.6741940
Very Green Double IPA,Treehouse Brewing,Charlton,MA,Double IPA,8.6,2021-07-24,Youtube Video: My Most EPYC Server Build to Date!,3.75,draft,,,,,12a8dd0f-3a32-458e-9397-c46eb77a84ca,,
Beyond Repair DDH IPA,Anchorage Brewing,Anchorage,AK,DDH IPA,6.4,2021-07-20,Youtube Video: Does HP Charge for BIOS and Driver Updates???,4.25,bottle,The Hop Yard,Buffalo,NY,US,3fc71852-b8d4-49b0-aaf2-3a72e91c903f,42.8864163,-78.8781493
What Mask DDH IPA,Anchorage Brewing,Anchorage,AK,DDH IPA,8.4,2021-07-13,Youtube Video: A Dual 2011-3 Server for your Homelab?? - HP DL80 Gen9 Review,4.25,cask,Hopworks Bar & Grill,Eugene,OR,US,de3ce3b5-58f8-4ee6-b2a3-be77b457df3b,44.0505054,-123.0950506
Cold Brew Stout,Block 15 Brewing,Corvallis,OR,Stout,7.0,2021-04-23,Youtube Video: Proxmox vGPU Gaming Tutorial - Share Your GPU With Multiple VMs!,1.0,draft,The Ale House,Vancouver,WA,US,1afc861b-08f1-4b30-bf9b-ac86987a588d,45.6306954,-122.6744557
Govna's Reserve Pirate Stout (2017),Santiam Brewing,Salem,OR,Rum Barrel Aged Imperial Stout,11.5,2021-06-17,Youtube Video: 12 Gamers on 3 GPUs?!? - Cloud Gaming Server Pt.8,3.25,draft,,,,,cba75bc5-e9ed-4ee8-9145-7aa68200c6dd,,
Dumpster Fire 2020,Surly Brewing,Brooklyn Ctr,MN,Hazy IPA,9.7,2021-06-08,Youtube Video: Running out of things to die - TrueNAS Motherboard Replacement,1.25,cask,,,,,373566cc-be0d-48ad-aa92-8bb91d5dcde4,,
Hopper,Matchless Brewing,Tumwater,WA,Hazy IPA,,2021-06-05,"Youtube Video: Buy Lemons, Get Lemonade - Seagate Constellation ES.2 3TB Drives",2.0,can,,,,,f81f5ceb-9124-44a0-833e-facdddbf1604,,
Captain's Daughter DDH IPA,Grey Sail Brewing,Westerly,RI,Imperial or Double India Pale Ale,8.5,2021-05-31,Youtube Video: 16-Port 10Gb Managed Switch for under $400???,3.75,growler,Grey Sail Brewing,Westerly,RI,US,966762b4-815e-40b6-9275-13c7092c731b,41.3775996,-71.8272911
JB Shot First Imperial Red Ale,Ex Novo Brewing,Portland,OR,Imperial Red Ale,,2022-10-15,Youtube Video: Battle of the SFF PCs! AMD VS INTEL!,1.25,growler,,,,,35cd6728-facd-4030-ad0a-cb230a530735,,
Ducking Autocorrect West Coast IPA,Binary Brewing,Portland,OR,West Coast IPA,6.8,2021-05-15,Youtube Video: Down the rabbit hole we go.....,3.75,cask,Binary Brewing,Portland,OR,US,6d786eb7-0808-48c7-886c-92d8d97bd0ce,45.5202471,-122.6741940
Heart of Rubbo,Ex Novo Brewing,Portland,OR,Schwarzbier,4.8,2021-05-11,Youtube Video: A Box Full of Cache!,4.25,cask,,,,,ff0705c7-bca9-4f47-b134-eebf7894a18c,,
HTTPale,Binary Brewing,Portland,OR,,,2021-05-07,Youtube Video: Building my First Custom Keyboard!,2.75,bottle,The Hop Yard,Buffalo,NY,US,,42.8864163,-78.8781493
Ghostfish GF Pale Ale,Ghostfish Brewing,Seattle,WA,Pale Ale (GF),,2021-04-30,Youtube Video: Are CableMod Cables Worth It?,5.0,growler,The Hop Yard,Buffalo,NY,US,b32ca7c3-13af-4f88-97ef-e6c4779d57d8,42.8864163,-78.8781493
Peanut Butter Porter,Shakopee Brewing,Shakopee,MN,Brown Porter,6,2021-04-27,Youtube Video: I've Gone To Plaid! - New Editing PC Build,2.5,crowler,,,,,04f1d4ae-18e7-422f-a1a3-4e3f8e36eb45,,
PB + Death,Iron Horse Brewing,Ellensburg,WA,Dark Smooth Ale,6.53,2021-04-26,Youtube Video: 1999 Called... It Wants Its Trackball Back - Elecom HUGE Review,3.0,can,,,,,,,
XPA American Pale Ale,Coldstream Brewery,Coldstream,Victoria Australia,Pale Ale,5.0,2021-02-27,"Youtube Video: A portable monitor that DOESN'T suck! - Intehill 17"" 240Hz IPS",1.0,bottle,Coldstream Brewery,Coldstream,Victoria Australia,,b9d597c8-d589-46b3-8d41-32ba42856979,-37.7244276,145.3791193
Newport Lights IPA,Rogue Ales and Spirits,Newport,OR,IPA,9.8,2018-12-16,Youtube Video: GeIL Super Luce 3200 RGB Memory - Friday Flights!,3.0,cask,Rogue Ales and Spirits,Newport,OR,US,cb0d3324-0ee9-439e-8be7-d583fe64516e,44.6367550,-124.0534420
Magnetic Fields IPA,Fort George Brewing,Astoria,OR,Hazy IPA,7.2,2021-02-18,Youtube Video: Blinded By The Light - Marsback M1 Keyboard Review,4.25,growler,,,,,9f5ce9c6-68fa-44a9-b51b-0f42b46ca8f3,,
War Tortoise,Loowit Brewing,Vancouver,WA,BA Imperial Stout,9.4,2021-04-03,Youtube Video: GeForce PCIe Passthrough Enabled! But what took so long???,1.0,crowler,,,,,c0895411-0afc-4b93-8e19-141cc5c03af2,,
Fresh out of Flux IPA,Three Magnets Brewing,Olympia,WA,IPA,6.4,2021-02-28,Youtube Video: Careful When You Meet Your Heroes - Building my 2013 Dream PC,3.5,crowler,,,,,8ce34c6c-24df-40d0-b7ad-9be986df5495,,
Tom Yum Beer,Pacific Plate / Bangkok Craft Brewing,Monrovia,CA,American Wheat Beer,5.0,2021-02-27,Youtube Video: New Rack Console! - HP TFT7600 Rackmount Monitor,2.0,crowler,The Local,Eugene,OR,US,1ee13e71-2b3a-4185-b048-c38c61a2419a,44.0505054,-123.0950506
Oh Fudge,Prarie Artisan Ales,Oklahoma City,OK,Pastry Stout,11.0,2021-02-23,Youtube Video: Can They Be Saved??? PC's from the office flood,4.25,cask,The Hop Yard,Buffalo,NY,US,,42.8864163,-78.8781493
PA to LA Amber Lager,Indie Brewing Co,Los Angeles,CA,Amber Lager,4.4,2021-02-21,Youtube Video: Made for Giants.... Putorsen Electric Sit/Stand Workstation,1.5,growler,,,,,,,
Strat Your Stuff Hazy IPA,Ex Novo Brewing,Portland,OR,Hazy IPA,6.9,2021-02-11,Youtube Video: Let's talk about VLANs,1.75,growler,Ex Novo,Portland,OR,US,1b268721-825a-4a23-a9e4-12520b20bb1a,45.5202471,-122.6741940
Velvet Panda Oatmeal Stout,Kettel Beerworks,,North Carolina,Oatmeal Stout,5.5,2021-02-07,Youtube Video: Building Four Servers in One Day!,4.75,growler,Draft Republic,San Diego,CA,US,9d74fef9-1aea-4c00-8893-4c4d12b506ae,33.1245356,-117.3243667
Mocha Death,Iron Horse Brewing,Ellensburg,WA,Coffee/Cocoa Ale,,2021-02-05,Youtube Video: OLOy Owl DDR4 RAM - Is it any good?,3.5,can,The Fermentation Lounge,Minneapolis,MN,US,1917eccd-144d-4a0d-8da4-98a7cf7872ad,44.9772995,-93.2654692
Celebration Fresh Hop IPA,Sierra Nevada,Chico,CA,Fresh Hop IPA,6.80,2021-02-01,Youtube Video: Testing New Xeon CPUs for New Servers!,3.25,growler,,,,,b2401a85-9fc8-4d86-99ee-fbd7b3f38032,,
Aufschneider,Freigeist Bierkultur,,Germany,Hoppy Hefeweizen,,2021-01-28,Youtube Video: PiHole as a Recursive DNS Server Tutorial,3.5,cask,The Local,Eugene,OR,US,aedfa7ee-869a-4778-a65e-29b0b74fe08c,44.0505054,-123.0950506
Battlestar IPA,Crux Fermentation Project,Bend,OR,IPA,,2021-01-26,Youtube Video: Gaming PC in an XBOX One S - Making Everything Fit,5.0,cask,The Local,Eugene,OR,US,d73defbd-085c-4200-9f1b-ba8b6ed310df,44.0505054,-123.0950506
ESB Extra Special English Pale,Fiatland Brewing Company,,,ESB,,2021-01-18,Youtube Video: Making my own Single Slot GPU Cooler,5.0,crowler,Fiatland Brewing Company,,,,24782c66-9e8b-4438-914e-8b3c453f91f2,,
Eastside IPA,Single Hill Brewing,Yakima,WA,IPA,6.8,2021-01-12,Youtube Video: The KVM of my Dreams! ...Almost - TinyPilot RPi Network KVM,2.0,bottle,Brewski Bar,Bend,OR,US,3df9830a-67ea-4365-bc30-6eee3ec71fe5,44.0581728,-121.3153096
Fine Whatever NE IPA,Shakopee Brewing,Shakopee,MN,NE IPA,6.5,2021-01-10,Youtube Video: Sapphire RX 6800 Nitro+... Ludicrous Speed!,1.75,bottle,Foam & Froth,Hood River,OR,US,b65ee65b-98c5-4d03-92f7-116996dedeb0,45.5311636,-121.6475587
SHIFT HAPPENS DDH Lager,Schell's Beer,New Ulm,MN,DDH Lager,9.0,2020-12-29,Youtube Video: THIS is what Windows 10 should look like! - Custom Windows Image Tutorial,4.5,can,The Ale House,Vancouver,WA,US,36aca0a5-067c-4bf9-96e3-62b0b2752466,45.6306954,-122.6744557
Magnanimous,Fort George Brewing,Astoria,OR,Winter IPA,7.0,2020-12-14,Youtube Video: Plex on ProxMox Tutorial WITH nVidia Hardware Encoding,5.0,growler,The Hop Yard,Buffalo,NY,US,d7e3bbc2-cd83-4b67-a2db-2f0e61abf6bb,42.8864163,-78.8781493
Oatis Oatmeal Stout,Ninkasi Brewing,Eugene,OR,Oatmeal Stout,,2020-12-10,Youtube Video: Dual 2011 Server with Rails for less than $150!,3.5,crowler,Hopworks Bar & Grill,Eugene,OR,US,e7b9c6cb-1b21-410e-9b3c-f8c56e4bf863,44.0505054,-123.0950506
Accumulation White IPA,New Belgium Brewing,Fort Collins,CO,White IPA,,2020-12-02,Youtube Video: Build a Budget PC with... Intel???,3.5,draft,The Growler Station,Portland,OR,US,90614c9b-ce9e-4d1c-83fd-aa76a532e7b9,45.5202471,-122.6741940
Steady Orbit IPA,Ninkasi Brewing,Eugene,OR,IPA,4.5,2020-11-22,Youtube Video: Released 1 day early for members.,2.25,crowler,,,,,ec82c78e-0b56-419d-affa-669b51125631,,
Scotch Ale,Rohrbach Brewing,Rochester,NY,Scotch Ale,6.9,2020-11-11,Youtube Video: Remote Access to ANY server - Guacamole WebApp Tutorial,1.5,crowler,,,,,,,
Walnut River Coffee Beer,Walnut River Brewing,El Dorado,KS,Coffee Beer,6.6,2020-11-11,Youtube Video: Things are about to get... Meshy...,4.75,bottle,The Local,Eugene,OR,US,180c7b2c-659d-4f7f-90de-fb1efa06d652,44.0505054,-123.0950506
Mansion Brew Imperial Wheat Stout w/ Coffee,Torn Label / Thou Mayest,Kansas City,MO,Imperial Wheat Stout,8.8,2020-09-19,Youtube Video: ProxMox High Availability Cluster,1.5,crowler,Suds & Grub,Corvallis,OR,US,6a3db5ea-5fd7-40e5-b271-51e4d44634e5,44.5645659,-123.2620435
Cavatica Stout,Fort George Brewing,Astoria,OR,American-Style Stout,8.8,2020-10-28,Youtube Video: $169 1080p 144Hz Monitor - Is it any good???,5.0,growler,,,,,76f1634d-6ef2-471d-a9f8-e7c8c0bf98ed,,
2020 Narwhal Imperial Stout,Sierra Nevada,Chico,CA,Imperial Stout,10.2,2020-10-23,"Youtube Video: Hot Swap Storage in a PCIe Slots??? - IcyDock 2.5"" SSD + PCIe Hotswap",3.25,bottle,Craft & Barrel,Seattle,WA,US,087138dd-4722-49e0-99e2-b01836cbe5d1,47.6038321,-122.3300620
V6,Wichita Brewing,Wichita,KS,IPA,7.0,2020-10-06,,5.0,bottle,Craft & Barrel,Seattle,WA,US,,47.6038321,-122.3300620
Kveik Black Oat IPA,Walnut River / Norsemen,El Dorado,KS,Black Oat IPA,7.7,2020-10-06,Youtube Video: Released 1 day early for members.,4.0,draft,Hopworks Bar & Grill,Eugene,OR,US,,44.0505054,-123.0950506
Vortex IPA,Fort George Brewing,Astoria,OR,American-Style India Pale Ale,7.7,2020-09-29,Youtube Video: The sketchiest water cooling loop ever!,2.75,draft,,,,,fa65295b-daa8-4ce9-af06-97a9f21e2266,,
DIY Oatmeal Stout,Liberty Cap Brewing,,,Oatmeal Stout,,2020-09-29,Youtube Video: Triple-A Gaming on the Lowest Possible Specs,3.75,crowler,,,,,,,
Shaven Yak,Wichita Brewing,Wichita,KS,English Brown Ale,5.0,2020-09-29,Youtube Video: Unifi Dream Machine Pro - Setup and Installation,1.0,growler,,,,,,,
WuShock Wheat,Wichita Brewing,Wichita,KS,Wheat Ale,4.5,2020-09-16,Youtube Video: Huananzhi X99 Finally Overclocked,2.75,draft,Wichita Brewing Co,Wichita,KS,US,,37.6922361,-97.3375448
Goldihops,Torn Label Brewing,Kansas City,MO,American Golden Ale,4.8,2020-09-16,Youtube Video: Second Screen for my Laptop... Good idea???,2.25,crowler,Torn Label Brewing,Kansas City,MO,US,,39.0925081,-94.5730932
Holy D'hiver,Loowit Brewing,Vancouver,WA,Belgian Winter Strong Ale,,2020-09-16,Youtube Video: Released 3 days early for members.,4.0,growler,The Taproom,Portland,OR,US,,45.5226257,-122.6903512
Fresh Squeezed IPA,Deschutes Brewing,Bend,OR,"Fresh ""Wet"" Hop Ale",6.4,2020-08-29,Youtube Video: How To Cable Manage Your Server Rack!,3.0,growler,,,,,04cc69e9-8350-422c-bcb0-de19538df3a3,,
Incredible Pulp,Breakside Beer,Bend,OR,Blood Orange Extra IPA,6.0,2020-08-21,Youtube Video: Commodore 64 meets Raspberry Pi - Zyvhur K100 Multitop Review,3.0,draft,,,,,,,
Juicy Bear IPA,Hopworks Urban Brewery (HUB),Portland,OR,IPA,6.5,2020-08-18,Youtube Video: Chinese X79 Xeon Overclocking!,2.0,growler,,,,,,,
Summer Breeze Lemon Shandy,Kansas Territory Brewing,Washington,KS,Shandy,,2020-08-13,Youtube Video: TrueNAS Migration Tutorial,5.0,can,McGinty's Pub,Seattle,WA,US,,47.6038321,-122.3300620
Tasty,21st Amendment Brewing,San Leandro,CA,IPA,6.8,2020-08-07,Youtube Video: IT'S WORKING! Cloud Gaming Server Benchmarked!,3.25,draft,The Local,Eugene,OR,US,,44.0505054,-123.0950506
Trickle Up Economics,Three Magnets Brewing,Olympia,WA,Hazy IPA,6.5,2020-07-26,"Youtube Video: (EARLY ACCESS) TrueNAS 12.0 - Datasets, Permissions, Snapshots, OH MY!",1.0,growler,Three Magnets Brewing,Olympia,WA,US,,47.0451022,-122.8950075
Perle Haggard Dry-hopped Pilsner,Ex Novo Brewing,Portland,OR,Pilsner,5.1,2020-05-30,Youtube Video: FreeNAS / TrueNAS 12.0 Install Tutorial,4.75,can,,,,,,,
Prince Charles Wee Heavy Scotch Ale,Santiam Brewing,Salem,OR,Scotch Ale,9.2,2020-07-19,Youtube Video: My biggest server build yet! 88TB TrueNAS Core Build.,1.0,growler,Santiam Brewing,Salem,OR,US,,44.9160602,-123.0199930
Stormchaser IPA,Free State Brewing,Lawrence,KS,IPA,5.5,2020-07-14,"Youtube Video: ProxMox - Migration, Backup, and Restoration Tutorial",2.25,cask,Free State Brewing,Lawrence,KS,US,,38.9717291,-95.2355368
I'm not a HAZY I just crush a lot,Level Beer,Portland,OR,IPA,5.8,2020-07-11,Youtube Video: Is a Sound Card worth it in 2020?,2.0,bottle,,,,,,,
Five Pound Hammer Hazy IPA,Level Beer,Portland,OR,Hazy IPA,7.0,2020-07-08,Youtube Video: 2020's Best Budget GPU 2020 - 5500 XT vs GTX 1660 vs RX 580,2.0,bottle,The Pour House,Bend,OR,US,,44.0581728,-121.3153096
EL JEFE,J. Wakefield Brewing,Miami,FL,Hefeweizen,5.0,2020-06-29,Youtube Video: Chinese X99 Workstation... Does it work?,3.75,crowler,,,,,,,
Dynamic Duo,Ex Novo Brewing,Portland,OR,Imperial or Double India Pale Ale,8,2020-06-26,Youtube Video: It's a Switch... It's a Server... It's BOTH! - QNAP QGD-1600p Server Switch Combo,1.5,can,Ex Novo Brewing,Portland,OR,US,5baaebdf-56b3-40ef-85e5-be50f5b086ae,45.5202471,-122.6741940
Island Waves,Revision Brewing,Sparks,NV,Hopped Ale,4.0,2020-06-19,Youtube Video: 64GB of DDR4-3600 in an ITX PC!,1.5,draft,The Ale House,Vancouver,WA,US,,45.6306954,-122.6744557
Witch Window Dry-Hopped Pilsner,Ex Novo Brewing,Portland,OR,Pilsner,5.4,2019-06-25,Youtube Video: Raspberry Pi Home Server - NxFilter Tutorial,4.5,growler,,,,,,,
Irresistible Amber Ale,Madison River Brewing Co,Belgrade,MT,Amber Ale,,2020-05-15,"Youtube Video: What's in my home network? Servers and switches and fiber, OH MY!",4.75,bottle,,,,,,,
Six of Swords Hazy Triple IPA,Anchorage Brewing,Anchorage,AK,Triple IPA,9.50,2020-05-02,Youtube Video: EPYC Cloud Gaming Server Build - GTX 690 Editon - Part 4 of ?,3.75,draft,,,,,7830c4bc-4729-4955-8fd8-37f8049aa22b,,
Fresh Funk Wild IPA,Deschutes Brewing,Bend,OR,Wild IPA,6.0,2020-04-19,Youtube Video: The $640 Budget Gaming PC with $1M Looks,3.75,can,Draft Republic,San Diego,CA,US,066b8c22-41af-46a2-bbda-dba200493a28,33.1245356,-117.3243667
Curiosity Eighty Seven,Tree House Brewing,Charlton,MA,Double IPA,8.0,2020-04-11,Youtube Video: Does SSD Speed matter for Cine Cameras? - Lexar SL100 Pro vs Samsung T5,4.25,growler,The Growler Station,Portland,OR,US,6e1d9364-f0c0-4491-b972-c9302abe3d6f,45.5202471,-122.6741940
Nitro Cold Brew Cream Ale,New Belgium Brewing,Fort Collins,CO,Cream Ale,5.0,2019-09-18,Youtube Video: Substance or just Style? Fractal Design Celsius+ S24 Prisma Review,4.0,growler,,,,,f115b33f-b6b1-435c-9be6-9cf4d3870294,,
Crazy Aunt,Insight Brewing,Minneapolis,MN,Specialty Beer,6,2020-03-28,Youtube Video: THIS is what VR should be! Benchmarking Half Life Alyx and other things...,2.25,growler,,,,,4827d12a-e8d7-4303-95c5-49b9e5b0d57a,,
Pour Pour Pitiful Me Belgian Quadrupel,Monkless Belgian Ales,Bend,OR,Quadrupel,,2020-03-19,Youtube Video: Living Room VR PC Build! - Fractal Design Era ITX,4.5,cask,,,,,46d5d76a-8422-489e-ad6d-e685d8945fad,,
